category_key	category_name
A00	Bệnh tả
A01	Bệnh thương hàn và phó thương hàn
A02	Nhiễm Salmonella khác
A03	Bệnh lỵ trực khuẩn
A04	Nhiễm khuẩn đường ruột do vi khuẩn khác
A05	Nhiễm độc thức ăn do vi khuẩn khác, không phân loại nơi khác
A06	Bệnh do amip
A07	Bệnh đường ruột do đơn bào khác
A08	Nhiễm trùng đường ruột do vi rút và tác nhân xác định khác
A09	Viêm dạ dày- ruột khác và viêm đại tràng do nhiễm trùng và nguyên nhân không xác định
A15	Lao hô hấp, có khẳng định về vi khuẩn học và mô học
A16	Lao đường hô hấp, không khẳng định về vi khuẩn học hoặc mô học
A17	Lao hệ thần kinh
A18	Lao các cơ quan khác
A19	Lao kê
A20	Dịch hạch
A21	Bệnh Tularemia
A22	Bệnh than
A23	Bệnh do Brucella
A24	Bệnh do Burkholderia mallei và bệnh do Burkholderia pseudomallei
A25	Sốt do chuột cắn
A26	Bệnh viêm quầng đỏ do Erysipelothrix rhusiopathiae
A27	Bệnh do Leptospira
A28	Bệnh nhiễm trùng khác do động vật truyền sang người, không phân loại nơi khác
A30	Bệnh phong [bệnh Hansen]
A31	Nhiễm khuẩn do Mycobacteria khác
A32	Nhiễm khuẩn do Listeria monocytogenes
A33	Bệnh uốn ván sơ sinh
A34	Bệnh uốn ván sản khoa
A35	Bệnh uốn ván khác
A36	Bệnh bạch hầu
A37	Bệnh ho gà
A38	Bệnh tinh hồng nhiệt
A39	Nhiễm trùng do não mô cầu
A40	Nhiễm khuẩn huyết do liên cầu
A41	Nhiễm khuẩn huyết khác
A42	Bệnh do nhiễm nấm Actinomyces
A43	Bệnh do Nocardia
A44	Bệnh do Bartonella
A46	Viêm quầng
A48	Bệnh nhiễm khuẩn khác, không phân loại nơi khác
A49	Tình trạng nhiễm khuẩn ở các vị trí không xác định
A50	Giang mai bẩm sinh
A51	Giang mai sớm
A52	Giang mai muộn
A53	Giang mai khác và không xác định
A54	Bệnh lậu
A55	Viêm hạch lympho do Chlamydia (Bệnh hột xoài)
A56	Bệnh khác do Chlamydia lây truyền qua đường tình dục
A57	Bệnh hạ cam mềm
A58	U hạt ở bẹn
A59	U hạt ở bẹn
A60	Bệnh do vi rút Herpes [herpes simplex] ở da quanh hậu môn và trực tràng
A63	Bệnh lây khác chủ yếu qua đường tình dục, không phân loại nơi khác
A64	Bệnh lây truyền qua đường tình dục không xác định
A65	Giang mai không lây qua đường tình dục
A66	Ghẻ cóc (do nhiễm Treponema pertenue)
A67	Bệnh Pinta (bệnh do Treponema carateum)
A68	Bệnh sốt hồi quy
A69	Bệnh do xoắn trùng khác
A70	Bệnh do Chlamydia psittaci
A71	Bệnh mắt hột
A74	Bệnh khác do Chlamydia
A75	Bệnh sốt phát ban
A77	Sốt phát ban dạng đốm [bệnh Rickettsia do bọ ve truyền]
A78	Sốt Q
A79	Các bệnh Rickettsia khác
A80	Bệnh bại liệt cấp
A81	Bệnh do vi rút không điển hình ở hệ thần kinh trung ương
A82	Bệnh dại ở người
A83	Bệnh viêm não vi rút do muỗi truyền
A84	Bệnh viêm não vi rút do bọ ve truyền
A85	Viêm não vi rút khác, không phân loại nơi khác
A86	Viêm não vi rút không đặc hiệu
A87	Viêm màng não do vi rút
A88	Nhiễm vi rút khác của hệ thần kinh trung ương, không phân loại nơi khác
A89	Nhiễm vi rút không xác định của hệ thần kinh trung ương
A92	Bệnh sốt vi rút do muỗi truyền khác
A93	Sốt do vi rút lây truyền qua côn trùng khác, không phân loại nơi khác
A94	Sốt vi rút không xác định do tiết túc truyền
A95	Sốt vàng
A96	Bệnh sốt xuất huyết do vi rút Arena
A97	Sốt xuất huyết Dengue
A98	Bệnh sốt xuất huyết do vi rút khác, không phân loại nơi khác
A99	Bệnh sốt xuất huyết do vi rút không xác định
B00	Bệnh do nhiễm vi rút Herpes [Herpes simplex]
B01	Thuỷ đậu
B02	Bệnh do herpes zoster
B03	Đậu mùa
B04	Đậu mùa khỉ
B05	Sởi
B06	Bệnh rubella [sởi Đức]
B07	Bệnh mụn cóc do vi rút
B08	Nhiễm vi rút khác có biểu hiện tổn thương tại da và niêm mạc, không phân loại nơi khác
