code	english_name	vietnamese_name
A000	Cholera due to Vibrio cholerae 01, biovar cholerae	Bệnh tả do Vibrio cholerae 01, type sinh học cholerae
A001	Cholera due to Vibrio cholerae 01, biovar eltor	Bệnh tả do Vibrio cholerae 01, type sinh học eltor
A009	Cholera, unspecified	Bệnh tả, không đặc hiệu
A010	Typhoid	Thương hàn
A011	Paratyphoid fever A	Bệnh phó thương hàn A
A012	Paratyphoid fever B	Bệnh phó thương hàn B
A013	Paratyphoid fever C	Bệnh phó thương hàn C
A014	Paratyphoid fever, unspecified	Bệnh phó thương hàn, không đặc hiệu
A020	Salmonella enteritis	Viêm ruột do Salmonella
A021	Salmonella sepsis	Nhiễm khuẩn huyết do Salmonella
A028	Other specified salmonella infections	Nhiễm Salmonella xác định khác
A029	Salmonella infection, unspecified	Nhiễm Salmonella, không đặc hiệu
A030	Shigellosis due to Shigella dysenteriae	Bệnh lỵ trực khuẩn do Shigella dysenteriae
A031	Shigellosis due to Shigella flexneri	Bệnh lỵ trực khuẩn do Shigella flexneri
A032	Shigellosis due to Shigella boydii	Bệnh lỵ trực khuẩn do Shigella boydii
A033	Shigellosis due to Shigella sonnei	Bệnh lỵ trực khuẩn do Shigella sonnei
A038	Other shigellosis	Bệnh lỵ trực khuẩn khác
A039	Shigellosis, unspecified	Bệnh lỵ trực khuẩn, không xác định
A040	Enteropathogenic Escherichia coli infection	Nhiễm Escherichia coli gây bệnh đường ruột
A041	Enterotoxigenic Escherichia coli infection	Nhiễm Escherichia coli gây độc tố ruột (ETEC)
A042	Enteroinvasive Escherichia coli infection	Nhiễm Escherichia coli xâm nhập (EIEC)
A043	Enterohemorrhagic Escherichia coli infection	Nhiễm Escherichia coli gây xuất huyết đường ruột (EHEC)
A044	Other intestinal Escherichia coli infections	Nhiễm Escherichia coli đường ruột khác
A045	Campylobacter enteritis	Viêm ruột do Campylobacter
A046	Enteritis due to Yersinia enterocolitica	Viêm ruột do Yersinia enterocolitica
A047	Enterocolitis due to Clostridium difficile	Viêm ruột do Clostridium difficile
A048	Other specified bacterial intestinal infections	Nhiễm khuẩn đường ruột do vi khuẩn xác định khác
A049	Bacterial intestinal infection, unspecified	Nhiễm khuẩn đường ruột do vi khuẩn, không xác định
A050	Foodborne staphylococcal intoxication	Nhiễm độc thức ăn do độc tố của tụ cầu
A051	Botulism food poisoning	Ngộ độc thịt
A052	Foodborne Clostridium perfringens [Clostridium welchii] intoxication	Nhiễm độc thức ăn do độc tố của Clostridium perfringens [Clostridium welchii]
A053	Foodborne Vibrio parahaemolyticus intoxication	Nhiễm độc thức ăn do độc tố của Vibrio parahaemolyticus
A054	Foodborne Bacillus cereus intoxication	Nhiễm độc thức ăn do độc tố của Bacillus cereus
A055	Foodborne Vibrio vulnificus intoxication	Nhiễm độc thức ăn do độc tố của Vibrio vulnificus
A058	Other specified bacterial foodborne intoxications	Nhiễm độc thức ăn do độc tố của vi khuẩn xác định khác
A059	Bacterial foodborne intoxication, unspecified	Nhiễm độc thức ăn do vi khuẩn, không xác định
A060	Acute amebic dysentery	Bệnh lỵ amip cấp
A061	Chronic intestinal amebiasis	Bệnh lỵ amip đường ruột mạn tính
A062	Amebic nondysenteric colitis	Viêm đại tràng do amip không gây hội chứng lỵ
A063	Ameboma of intestine	U do amip đường ruột
A064	Amebic liver abscess	Áp xe gan do amip
A065	Amebic lung abscess	Áp xe phổi do amip
A066	Amebic brain abscess	Áp xe não do amip
A067	Cutaneous amebiasis	Nhiễm amip ở da
A069	Amebiasis, unspecified	Bệnh do amip, không xác định
A070	Balantidiasis	Bệnh do Balantidium
A071	Giardiasis [lambliasis]	Bệnh do Giardia [lamblia]
A072	Cryptosporidiosis	Bệnh do Cryptosporidia
A073	Isosporiasis	Bệnh do lsospora
A074	Cyclosporiasis	Nhiễm Cyclospora
A078	Other specified protozoal intestinal diseases	Bệnh do đơn bào xác định khác
A079	Protozoal intestinal disease, unspecified	Bệnh đường ruột do đơn bào, không xác định
