disease	icd_code	description
AIDS	b24	Hội chứng suy giảm miễn dịch mắc phải (AIDS) là một tình trạng mãn tính, có khả năng đe dọa tính mạng do vi-rút gây suy giảm miễn dịch ở người (HIV) gây ra. Bằng cách làm tổn thương hệ thống miễn dịch của bạn, HIV cản trở khả năng chống lại nhiễm trùng và bệnh tật của cơ thể bạn.
Acne	l70_0	Mụn trứng cá thông thường là sự hình thành của mụn đầu đen, sẩn, mụn mủ, nốt sần và/hoặc nang do tắc nghẽn và viêm các đơn vị nang lông tuyến bã (nang lông và tuyến bã nhờn đi kèm). Mụn trứng cá phát triển trên mặt và thân trên. Nó thường ảnh hưởng đến thanh thiếu niên.
Alcoholic hepatitis	k70_1	Viêm gan do rượu là tình trạng viêm gan do bệnh lý gây ra do uống nhiều rượu trong thời gian dài. Bệnh cũng trầm trọng hơn do uống rượu quá độ và sử dụng rượu liên tục. Nếu bạn mắc phải tình trạng này, bạn phải ngừng uống rượu.
Allergy	t78_4	Dị ứng là phản ứng của hệ miễn dịch với một chất lạ thường không gây hại cho cơ thể bạn. Chúng có thể bao gồm một số loại thực phẩm, phấn hoa hoặc lông thú cưng. Nhiệm vụ của hệ miễn dịch là giữ cho bạn khỏe mạnh bằng cách chống lại các tác nhân gây bệnh có hại.
Arthritis	m13_9	Viêm khớp là tình trạng sưng và đau ở một hoặc nhiều khớp. Các triệu chứng chính của viêm khớp là đau khớp và cứng khớp, thường trở nên trầm trọng hơn theo tuổi tác. Các loại viêm khớp phổ biến nhất là viêm xương khớp và viêm khớp dạng thấp.
Bronchial asthma	j45_9	Hen phế quản là một tình trạng bệnh lý khiến đường dẫn khí của phổi sưng lên và hẹp lại. Do tình trạng sưng này, đường dẫn khí sản xuất ra quá nhiều chất nhầy khiến bạn khó thở, dẫn đến ho, thở ngắn và thở khò khè. Căn bệnh này là mãn tính và ảnh hưởng đến công việc hàng ngày.
Cervical spondylosis	m47_2	Thoái hóa đốt sống cổ là thuật ngữ chung để chỉ tình trạng hao mòn do tuổi tác ảnh hưởng đến các đĩa đệm cột sống ở cổ của bạn. Khi các đĩa đệm mất nước và co lại, các dấu hiệu của viêm xương khớp sẽ phát triển, bao gồm các phần xương nhô ra dọc theo các cạnh của xương (gai xương).
Chicken pox	b01_9	Thủy đậu là một căn bệnh rất dễ lây do vi-rút varicella-zoster (VZV) gây ra. Bệnh có thể gây phát ban ngứa, giống như mụn nước. Phát ban đầu tiên xuất hiện ở ngực, lưng và mặt, sau đó lan ra toàn bộ cơ thể, gây ra từ 250 đến 500 mụn nước ngứa.
Chronic cholestasis	k83_1	Các bệnh tắc ống mật mãn tính, dù xảy ra ở trẻ sơ sinh, trẻ em hay người lớn, đều có đặc điểm là vận chuyển axit mật bị khiếm khuyết từ gan đến ruột, nguyên nhân là do tổn thương chính ở biểu mô mật trong hầu hết các trường hợp.
Common cold	j00	Cảm lạnh thông thường là nhiễm trùng do vi-rút ở mũi và họng (đường hô hấp trên). Thường thì vô hại, mặc dù có thể không cảm thấy như vậy. Nhiều loại vi-rút có thể gây cảm lạnh thông thường.
Covid	u07_1	COVID-19 (Vi-rút Corona) ảnh hưởng đến những người khác nhau theo những cách khác nhau. Nó ảnh hưởng đến phổi. Hầu hết những người bị nhiễm sẽ phát triển bệnh nhẹ đến trung bình và hồi phục mà không cần nhập viện.
Dengue	a90	Một bệnh truyền nhiễm cấp tính do một loại flavivirus gây ra (loài virus sốt xuất huyết thuộc chi Flavivirus), lây truyền qua muỗi Aedes, và có biểu hiện là đau đầu, đau khớp dữ dội và phát ban.
Diabetes	e14_9	Bệnh tiểu đường là một căn bệnh xảy ra khi lượng đường trong máu của bạn, còn gọi là đường huyết, quá cao. Đường huyết là nguồn năng lượng chính của bạn và đến từ thực phẩm bạn ăn. Insulin, một loại hormone do tuyến tụy tạo ra, giúp glucose từ thực phẩm đi vào các tế bào của bạn để sử dụng làm năng lượng.
Dimorphic hemorrhoids	k64_9	Bệnh trĩ, còn được gọi là lòi dom, là các tĩnh mạch bị sưng ở hậu môn và trực tràng dưới. Trĩ tương tự như tĩnh mạch giãn. Trĩ có thể phát triển bên trong trực tràng, được gọi là trĩ nội. Chúng cũng có thể phát triển dưới da xung quanh hậu môn, được gọi là trĩ ngoại.
Drug reaction	t88_7	Phản ứng có hại của thuốc (ADR) là tổn thương do dùng thuốc. ADR có thể xảy ra sau khi dùng một liều duy nhất hoặc dùng thuốc kéo dài hoặc do kết hợp hai hoặc nhiều loại thuốc.
